_unit_id,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,text
623495519,,positive,0.8468,Mon Dec 01 20:32:45 +0000 2014,5.4E+017,#AAPL OR @Apple,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
623495520,,positive,0.6736,Mon Dec 01 20:34:31 +0000 2014,5.4E+017,#AAPL OR @Apple,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK
623495523,,negative,1,Mon Dec 01 20:46:01 +0000 2014,5.4E+017,#AAPL OR @Apple,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple
623495526,12/12/14 21:38,positive,1,Mon Dec 01 21:03:32 +0000 2014,5.4E+017,#AAPL OR @Apple,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
623495527,,negative,1,Mon Dec 01 21:09:50 +0000 2014,5.4E+017,#AAPL OR @Apple,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
623495529,,negative,0.9399,Mon Dec 01 21:35:14 +0000 2014,5.4E+017,#AAPL OR @Apple,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
623495536,,negative,1,Mon Dec 01 23:55:55 +0000 2014,5.4E+017,#AAPL OR @Apple,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
623495537,,negative,0.8928,Tue Dec 02 00:06:05 +0000 2014,5.4E+017,#AAPL OR @Apple,i get the storage almost full notification literally every 5 minutes chill @apple
623495538,,negative,0.8558,Tue Dec 02 00:14:25 +0000 2014,5.4E+017,#AAPL OR @Apple,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
623495539,,negative,0.8701,Tue Dec 02 00:15:11 +0000 2014,5.4E+017,#AAPL OR @Apple,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
623495541,,positive,0.5724,Tue Dec 02 00:15:16 +0000 2014,5.4E+017,#AAPL OR @Apple,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
623495546,12/11/14 23:40,positive,1,Tue Dec 02 00:17:02 +0000 2014,5.4E+017,#AAPL OR @Apple,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
623495552,12/12/14 9:26,negative,0.4673,Tue Dec 02 00:24:47 +0000 2014,5.4E+017,#AAPL OR @Apple,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
623495554,,negative,0.7453,Tue Dec 02 00:27:23 +0000 2014,5.4E+017,#AAPL OR @Apple,Nigga update yall headphones @Apple
623495556,12/11/14 22:17,negative,0.665,Tue Dec 02 00:28:38 +0000 2014,5.4E+017,#AAPL OR @Apple,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495557,,negative,1,Tue Dec 02 00:29:58 +0000 2014,5.4E+017,#AAPL OR @Apple,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
623495559,12/11/14 20:50,negative,0.501,Tue Dec 02 00:32:42 +0000 2014,5.4E+017,#AAPL OR @Apple,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
623495560,,negative,1,Tue Dec 02 00:34:51 +0000 2014,5.4E+017,#AAPL OR @Apple,@apple U need to get ur fucking shit together and let me txt while on YouTube
623495561,12/11/14 21:21,negative,0.6672,Tue Dec 02 00:38:41 +0000 2014,5.4E+017,#AAPL OR @Apple,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495564,12/12/14 3:38,negative,0.6656,Tue Dec 02 00:45:03 +0000 2014,5.4E+017,#AAPL OR @Apple,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb
623495570,,negative,1,Tue Dec 02 00:53:58 +0000 2014,5.4E+017,#AAPL OR @Apple,hey @apple fuck you
623495572,12/12/14 8:52,negative,1,Tue Dec 02 00:56:11 +0000 2014,5.4E+017,#AAPL OR @Apple,@apple why doesn't your people explain precautions when buying an expensive laptop
623495576,,negative,1,Tue Dec 02 01:05:37 +0000 2014,5.4E+017,#AAPL OR @Apple,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
